t,x,y,z,vx,vy,vz,roll_deg,pitch_deg,yaw_deg,roll_rate,pitch_rate,yaw_rate
11.8000,0.0121,-0.0113,-1.7494,-0.0148,-0.0147,-0.0039,0.0869,-0.0668,91.0737,0.0004,-0.0003,-0.0002
11.9001,0.0121,-0.0113,-1.7494,-0.0148,-0.0147,-0.0039,0.0869,-0.0668,91.0737,0.0004,-0.0003,-0.0002
11.9999,0.0121,-0.0113,-1.7494,-0.0148,-0.0147,-0.0039,0.0869,-0.0668,91.0737,0.0004,-0.0003,-0.0002
12.0999,0.0121,-0.0113,-1.7494,-0.0148,-0.0147,-0.0039,0.0869,-0.0668,91.0737,0.0004,-0.0003,-0.0002
12.2000,0.0121,-0.0113,-1.7494,-0.0148,-0.0147,-0.0039,0.0869,-0.0668,91.0737,0.0004,-0.0003,-0.0002
12.3000,0.0121,-0.0113,-1.7494,-0.0148,-0.0147,-0.0039,0.0869,-0.0668,91.0737,0.0004,-0.0003,-0.0002
12.4000,0.0121,-0.0113,-1.7494,-0.0148,-0.0147,-0.0039,0.0869,-0.0668,91.0737,0.0004,-0.0003,-0.0002
12.4999,0.0121,-0.0113,-1.7494,-0.0148,-0.0147,-0.0039,0.0869,-0.0668,91.0737,0.0004,-0.0003,-0.0002
12.5999,0.0121,-0.0113,-1.7494,-0.0148,-0.0147,-0.0039,0.0869,-0.0668,91.0737,0.0004,-0.0003,-0.0002
12.6999,0.0121,-0.0113,-1.7494,-0.0148,-0.0147,-0.0039,0.0869,-0.0668,91.0737,0.0004,-0.0003,-0.0002
12.8000,0.0121,-0.0113,-1.7494,-0.0148,-0.0147,-0.0039,0.0869,-0.0668,91.0737,0.0004,-0.0003,-0.0002
12.9000,0.0120,-0.0113,-1.7247,-0.0148,-0.0148,-0.0038,0.0875,-0.0668,91.0656,0.0004,-0.0002,-0.0002
12.9999,0.0120,-0.0113,-1.7247,-0.0148,-0.0148,-0.0038,0.0875,-0.0668,91.0656,0.0004,-0.0002,-0.0002
13.0999,0.0120,-0.0113,-1.7247,-0.0148,-0.0148,-0.0038,0.0875,-0.0668,91.0656,0.0004,-0.0002,-0.0002
13.2000,0.0120,-0.0113,-1.7247,-0.0148,-0.0148,-0.0038,0.0875,-0.0668,91.0656,0.0004,-0.0002,-0.0002
13.3000,0.0120,-0.0113,-1.7247,-0.0148,-0.0148,-0.0038,0.0875,-0.0668,91.0656,0.0004,-0.0002,-0.0002
13.4000,0.0120,-0.0113,-1.7247,-0.0148,-0.0148,-0.0038,0.0875,-0.0668,91.0656,0.0004,-0.0002,-0.0002
13.5000,0.0120,-0.0113,-1.7247,-0.0148,-0.0148,-0.0038,0.0875,-0.0668,91.0656,0.0004,-0.0002,-0.0002
13.6000,0.0120,-0.0113,-1.7247,-0.0148,-0.0148,-0.0038,0.0875,-0.0668,91.0656,0.0004,-0.0002,-0.0002
13.7000,0.0120,-0.0113,-1.7247,-0.0148,-0.0148,-0.0038,0.0875,-0.0668,91.0656,0.0004,-0.0002,-0.0002
13.8000,0.0120,-0.0113,-1.7247,-0.0148,-0.0148,-0.0038,0.0875,-0.0668,91.0656,0.0004,-0.0002,-0.0002
13.9000,0.0120,-0.0113,-1.7247,-0.0148,-0.0148,-0.0038,0.0875,-0.0668,91.0656,0.0004,-0.0002,-0.0002
13.9999,0.0120,-0.0113,-1.7247,-0.0148,-0.0148,-0.0038,0.0875,-0.0668,91.0656,0.0004,-0.0002,-0.0002
14.0999,0.0120,-0.0113,-1.7247,-0.0148,-0.0148,-0.0038,0.0875,-0.0668,91.0656,0.0004,-0.0002,-0.0002
14.1999,0.0120,-0.0113,-1.7247,-0.0148,-0.0148,-0.0038,0.0875,-0.0668,91.0656,0.0004,-0.0002,-0.0002
14.3000,0.0120,-0.0113,-1.7247,-0.0148,-0.0148,-0.0038,0.0875,-0.0668,91.0656,0.0004,-0.0002,-0.0002
14.4000,0.0120,-0.0113,-1.7247,-0.0148,-0.0148,-0.0038,0.0875,-0.0668,91.0656,0.0004,-0.0002,-0.0002
14.4999,0.0120,-0.0113,-1.7247,-0.0148,-0.0148,-0.0038,0.0875,-0.0668,91.0656,0.0004,-0.0002,-0.0002
14.6000,0.0120,-0.0113,-1.7247,-0.0148,-0.0148,-0.0038,0.0875,-0.0668,91.0656,0.0004,-0.0002,-0.0002
14.7000,0.0120,-0.0113,-1.7247,-0.0148,-0.0148,-0.0038,0.0875,-0.0668,91.0656,0.0004,-0.0002,-0.0002
14.8000,0.0120,-0.0113,-1.7247,-0.0148,-0.0148,-0.0038,0.0875,-0.0668,91.0656,0.0004,-0.0002,-0.0002
14.8999,0.0120,-0.0113,-1.7247,-0.0148,-0.0148,-0.0038,0.0875,-0.0668,91.0656,0.0004,-0.0002,-0.0002
15.0001,0.0120,-0.0113,-1.7247,-0.0148,-0.0148,-0.0038,0.0875,-0.0668,91.0656,0.0004,-0.0002,-0.0002
15.0999,0.0120,-0.0113,-1.7247,-0.0148,-0.0148,-0.0038,0.0875,-0.0668,91.0656,0.0004,-0.0002,-0.0002
15.2000,0.0120,-0.0113,-1.7247,-0.0148,-0.0148,-0.0038,0.0875,-0.0668,91.0656,0.0004,-0.0002,-0.0002
15.2999,0.0120,-0.0113,-1.7247,-0.0148,-0.0148,-0.0038,0.0875,-0.0668,91.0656,0.0004,-0.0002,-0.0002
15.3999,0.0120,-0.0113,-1.7247,-0.0148,-0.0148,-0.0038,0.0875,-0.0668,91.0656,0.0004,-0.0002,-0.0002
15.5000,0.0120,-0.0113,-1.7247,-0.0148,-0.0148,-0.0038,0.0875,-0.0668,91.0656,0.0004,-0.0002,-0.0002
15.6000,0.0120,-0.0113,-1.7247,-0.0148,-0.0148,-0.0038,0.0875,-0.0668,91.0656,0.0004,-0.0002,-0.0002
15.7000,0.0120,-0.0113,-1.7247,-0.0148,-0.0148,-0.0038,0.0875,-0.0668,91.0656,0.0004,-0.0002,-0.0002
15.8001,0.0120,-0.0113,-1.7247,-0.0148,-0.0148,-0.0038,0.0875,-0.0668,91.0656,0.0004,-0.0002,-0.0002
15.9000,0.0120,-0.0113,-1.7247,-0.0148,-0.0148,-0.0038,0.0875,-0.0668,91.0656,0.0004,-0.0002,-0.0002
16.0000,0.0120,-0.0113,-1.7247,-0.0148,-0.0148,-0.0038,0.0875,-0.0668,91.0656,0.0004,-0.0002,-0.0002
16.1000,0.0120,-0.0113,-1.7247,-0.0148,-0.0148,-0.0038,0.0875,-0.0668,91.0656,0.0004,-0.0002,-0.0002
16.2000,0.0120,-0.0113,-1.7247,-0.0148,-0.0148,-0.0038,0.0875,-0.0668,91.0656,0.0004,-0.0002,-0.0002
16.3000,0.0120,-0.0113,-1.7247,-0.0148,-0.0148,-0.0038,0.0875,-0.0668,91.0656,0.0004,-0.0002,-0.0002
16.3999,0.0120,-0.0113,-1.7247,-0.0148,-0.0148,-0.0038,0.0875,-0.0668,91.0656,0.0004,-0.0002,-0.0002
16.5000,0.0120,-0.0113,-1.7247,-0.0148,-0.0148,-0.0038,0.0875,-0.0668,91.0656,0.0004,-0.0002,-0.0002
16.6000,0.0120,-0.0113,-1.7247,-0.0148,-0.0148,-0.0038,0.0875,-0.0668,91.0656,0.0004,-0.0002,-0.0002
16.7001,0.0120,-0.0113,-1.7247,-0.0148,-0.0148,-0.0038,0.0875,-0.0668,91.0656,0.0004,-0.0002,-0.0002
16.8000,0.0120,-0.0113,-1.7247,-0.0148,-0.0148,-0.0038,0.0875,-0.0668,91.0656,0.0004,-0.0002,-0.0002
16.9000,0.0120,-0.0113,-1.7247,-0.0148,-0.0148,-0.0038,0.0875,-0.0668,91.0656,0.0004,-0.0002,-0.0002
17.0000,0.0120,-0.0113,-1.7247,-0.0148,-0.0148,-0.0038,0.0875,-0.0668,91.0656,0.0004,-0.0002,-0.0002
17.0999,0.0120,-0.0113,-1.7247,-0.0148,-0.0148,-0.0038,0.0875,-0.0668,91.0656,0.0004,-0.0002,-0.0002
17.2000,0.0120,-0.0113,-1.7004,-0.0148,-0.0147,-0.0038,0.0878,-0.0667,91.0579,0.0004,-0.0002,-0.0000
17.3000,0.0120,-0.0113,-1.7004,-0.0148,-0.0147,-0.0038,0.0878,-0.0667,91.0579,0.0004,-0.0002,-0.0000
17.4000,0.0120,-0.0113,-1.7004,-0.0148,-0.0147,-0.0038,0.0878,-0.0667,91.0579,0.0004,-0.0002,-0.0000
17.5000,0.0120,-0.0113,-1.7004,-0.0148,-0.0147,-0.0038,0.0878,-0.0667,91.0579,0.0004,-0.0002,-0.0000
17.6000,0.0120,-0.0113,-1.7004,-0.0148,-0.0147,-0.0038,0.0878,-0.0667,91.0579,0.0004,-0.0002,-0.0000
17.6999,0.0120,-0.0113,-1.7004,-0.0148,-0.0147,-0.0038,0.0878,-0.0667,91.0579,0.0004,-0.0002,-0.0000
17.8000,0.0120,-0.0113,-1.7004,-0.0148,-0.0147,-0.0038,0.0878,-0.0667,91.0579,0.0004,-0.0002,-0.0000
17.9001,0.0120,-0.0113,-1.7004,-0.0148,-0.0147,-0.0038,0.0878,-0.0667,91.0579,0.0004,-0.0002,-0.0000
18.0000,0.0120,-0.0113,-1.7004,-0.0148,-0.0147,-0.0038,0.0878,-0.0667,91.0579,0.0004,-0.0002,-0.0000
18.1000,0.0120,-0.0113,-1.7004,-0.0148,-0.0147,-0.0038,0.0878,-0.0667,91.0579,0.0004,-0.0002,-0.0000
18.2000,0.0120,-0.0113,-1.7004,-0.0148,-0.0147,-0.0038,0.0878,-0.0667,91.0579,0.0004,-0.0002,-0.0000
18.3000,0.0120,-0.0113,-1.7004,-0.0148,-0.0147,-0.0038,0.0878,-0.0667,91.0579,0.0004,-0.0002,-0.0000
18.4001,0.0120,-0.0113,-1.7004,-0.0148,-0.0147,-0.0038,0.0878,-0.0667,91.0579,0.0004,-0.0002,-0.0000
18.5000,0.0120,-0.0113,-1.7004,-0.0148,-0.0147,-0.0038,0.0878,-0.0667,91.0579,0.0004,-0.0002,-0.0000
18.6000,0.0120,-0.0113,-1.7004,-0.0148,-0.0147,-0.0038,0.0878,-0.0667,91.0579,0.0004,-0.0002,-0.0000
18.7000,0.0120,-0.0113,-1.7004,-0.0148,-0.0147,-0.0038,0.0878,-0.0667,91.0579,0.0004,-0.0002,-0.0000
