scenario,condition,uncertainty,planner,resolution,runs,pct_SUCESSO,pct_SEM_CAMINHO,pct_TIMEOUT,pct_ENERGIA_INSUFICIENTE,pct_TEMPO_TOTAL_EXCEDIDO,pct_COLISAO,t_initial_ms_mean,t_initial_ms_std,t_first_solution_ms_mean,t_first_solution_ms_std,n_replans_mean,n_replans_std,replan_ms_mean_mean,replan_ms_mean_std,replan_ms_max_mean,replan_ms_max_std,initial_pct_budget_mean,initial_pct_budget_std,replan_pct_budget_max_mean,replan_pct_budget_max_std,energy_planned_wh_mean,energy_planned_wh_std,energy_exec_wh_mean,energy_exec_wh_std,abs_delta_e_wh_mean,abs_delta_e_wh_std,length_planned_m_mean,length_planned_m_std,length_exec_m_mean,length_exec_m_std,n_waypoints_mean,n_waypoints_std,min_clearance_m_mean,min_clearance_m_std,mission_time_s_mean,mission_time_s_std,realtime_ok_pct
C5,K2,,astar,2.0,3,100.0,0.0,0.0,0.0,0.0,0.0,146.871,4.538,146.871,4.538,1.0,0.0,119.597,10.717,119.597,10.717,0.353,0.011,0.287,0.026,0.439,0.001,0.456,0.003,0.017,0.003,41.619,0.122,42.084,0.254,3.0,0.0,1.796,0.093,43.32,0.29,100.0
C5,K2,,rrt_star,,30,100.0,0.0,0.0,0.0,0.0,0.0,5006.017,1.52,101.171,24.812,0.967,0.18,201.193,77.091,201.193,77.091,11.836,0.215,0.476,0.183,0.447,0.008,0.515,0.052,0.068,0.053,42.308,0.773,47.518,4.79,3.067,0.249,2.033,0.282,48.874,4.907,100.0
C5,K3,,astar,1.0,3,100.0,0.0,0.0,0.0,0.0,0.0,1042.868,48.858,1042.868,48.858,1.0,0.0,911.229,50.912,911.229,50.912,2.52,0.118,2.201,0.122,0.437,0.001,0.456,0.0,0.019,0.001,41.391,0.055,41.902,0.037,3.0,0.0,1.847,0.115,43.911,0.051,100.0
C5,K3,,astar,2.0,3,100.0,0.0,0.0,0.0,0.0,0.0,142.379,3.713,142.379,3.713,1.0,0.0,179.279,52.294,179.279,52.294,0.342,0.009,0.431,0.126,0.439,0.001,0.456,0.003,0.017,0.003,41.619,0.122,42.085,0.253,3.0,0.0,1.8,0.099,43.379,0.231,100.0
C5,K3,,rrt_star,,30,100.0,0.0,0.0,0.0,0.0,0.0,5005.735,1.486,103.359,24.965,0.967,0.18,237.385,95.678,237.385,95.678,11.812,0.229,0.561,0.227,0.447,0.009,0.507,0.049,0.06,0.05,42.394,0.826,46.818,4.508,3.067,0.249,2.012,0.266,48.196,4.638,100.0
C5,K4,0.02,astar,1.0,3,100.0,0.0,0.0,0.0,0.0,0.0,941.113,45.187,941.113,45.187,0.0,0.0,,,,,2.25,0.119,,,0.442,0.002,0.455,0.002,0.013,0.0,41.845,0.211,41.979,0.192,5.0,0.816,1.845,0.117,43.133,0.189,100.0
C5,K4,0.02,astar,2.0,3,100.0,0.0,0.0,0.0,0.0,0.0,144.389,1.964,144.389,1.964,0.0,0.0,,,,,0.344,0.004,,,0.443,0.001,0.456,0.001,0.014,0.0,41.948,0.076,42.118,0.08,4.0,0.0,2.255,0.281,43.267,0.094,100.0
C5,K4,0.02,rrt_star,,30,100.0,0.0,0.0,0.0,0.0,0.0,5006.73,2.108,119.352,31.999,0.0,0.0,,,,,11.577,0.3,,,0.457,0.012,0.469,0.012,0.012,0.001,43.276,1.146,43.318,1.07,3.667,0.699,2.279,0.271,44.453,1.099,100.0
C5,K4,0.1,astar,1.0,3,100.0,0.0,0.0,0.0,0.0,0.0,832.304,19.969,832.304,19.969,0.0,0.0,,,,,1.921,0.048,,,0.457,0.0,0.469,0.001,0.012,0.001,43.328,0.033,43.381,0.058,6.667,0.471,2.903,0.279,44.467,0.094,100.0
C5,K4,0.1,astar,2.0,3,100.0,0.0,0.0,0.0,0.0,0.0,154.2,3.054,154.2,3.054,0.0,0.0,,,,,0.354,0.008,,,0.46,0.002,0.472,0.002,0.012,0.0,43.595,0.171,43.642,0.141,6.0,0.0,2.949,0.396,44.733,0.189,100.0
