scenario,condition,uncertainty,planner,resolution,seed,status,detail,t_initial_ms,t_first_solution_ms,n_replans,replan_ms_mean,replan_ms_max,initial_pct_budget,replan_pct_budget_max,realtime_ok,energy_planned_wh,energy_exec_wh,delta_e_wh,abs_delta_e_wh,e_air_wh,e_water_wh,e_transition_wh,length_planned_m,length_exec_m,n_waypoints,min_clearance_m,mission_time_s,wall_s
C1,K2,,astar,2.0,1,SUCESSO,replanner setup 6.06s,3065.8537599992997,3065.8537599992997,2,106.82875650036294,120.06819700036431,1.6916798444502392,0.06625134945283345,1,3.7435105725696927,4.045586062218265,-0.30207548964857267,0.30207548964857267,4.045586062218265,0.0,0.0,181.23132282134853,185.22170418745105,3,1.1106494674907101,65.21365751300111,9.760176026000408
C1,K2,,astar,2.0,2,SUCESSO,replanner setup 5.93s,3032.332546001271,3032.332546001271,2,99.97088250111119,118.15444600142655,1.6741023205714467,0.06523118069542329,1,3.7414558601897285,4.044682365008772,-0.3032265048190439,0.3032265048190439,4.044682365008772,0.0,0.0,181.131852500282,184.9439122790628,3,1.1075334130122756,65.1999417650026,9.834885579999536
C1,K2,,rrt_star,,9,SUCESSO,,5010.053890000563,377.3684180014243,2,422.2612339999614,448.9498729999468,2.777773243070711,0.24891567477712417,1,3.7255586824831672,4.409473189198702,-0.683914506715535,0.683914506715535,4.409473189198702,0.0,0.0,180.36223448038402,199.83831339371017,3,1.1780763342893188,71.0445224680004,6.262270247001652
C1,K2,,rrt_star,,11,SUCESSO,,5015.4531489988585,363.4219519990438,1,38.12896400086174,38.12896400086174,2.7365339046929553,0.020803943260840348,1,3.7857779414694224,4.061231003436105,-0.2754530619666826,0.2754530619666826,4.061231003436105,0.0,0.0,183.2775811912187,185.8845575604234,4,1.4206093482776576,65.43812896400125,5.6978282170002785
C1,K2,,rrt_star,,10,SUCESSO,,5016.177817000425,390.5386379992706,2,35.0914910013671,36.12895400146954,2.7711090549846564,0.019958876107080373,1,3.73908290627081,3.999561733417281,-0.26047882714647086,0.26047882714647086,3.999561733417281,0.0,0.0,181.0169761445278,182.3883109667435,4,1.1765132285300148,64.47018298200311,5.852510335000261
C1,K2,,rrt_star,,15,SUCESSO,,5008.411405999141,478.8790450002125,1,515.2488599997014,515.2488599997014,2.7723205660308583,0.2852072035236819,1,3.731662268703663,4.4889211621274026,-0.7572588934237396,0.7572588934237396,4.4889211621274026,0.0,0.0,180.65773011126566,203.9023859759585,3,1.067412736806169,72.3152488600002,5.7903970570005185
C1,K2,,rrt_star,,13,SUCESSO,,5015.104156002053,547.169716001008,1,28.90111499982595,28.90111499982595,2.7139929394344406,0.015640237891657124,1,3.8169545496332424,4.137894367452612,-0.3209398178193692,0.3209398178193692,4.137894367452612,0.0,0.0,184.78692715564443,186.6000325837764,4,0.5280529672466514,66.62890111500023,5.841779710999617
C1,K2,,rrt_star,,12,SUCESSO,,5008.841263999784,363.2870159999584,1,854.0198350001447,854.0198350001447,2.7721088731641856,0.472651425286257,1,3.7322676571391593,4.160564156478679,-0.4282964993395195,0.4282964993395195,4.160564156478679,0.0,0.0,180.68703262301926,188.75324523441827,3,1.2883379161155406,67.05401983500056,6.18012536400056
C1,K2,,rrt_star,,14,SUCESSO,,5008.848632000081,665.4559320013504,2,161.87522949985578,287.58292899874505,2.7654665468266617,0.1587791981781021,1,3.741237211603129,4.027362489942092,-0.2861252783389632,0.2861252783389632,4.027362489942092,0.0,0.0,181.1212881149357,184.0746258016563,3,1.1538114149031062,64.92375045900009,6.05978358900029
C1,K2,,rrt_star,,19,SUCESSO,,5008.9314360011485,668.0440480013203,0,,,2.7177672383834293,,1,3.806962704003706,4.0449424364210635,-0.2379797324173576,0.2379797324173576,4.0449424364210635,0.0,0.0,184.30317965642047,185.5245793789855,3,1.337970806749988,65.20000000000039,5.478594913000052
C1,K2,,rrt_star,,16,SUCESSO,,5009.363189001306,424.1716300002736,1,300.0880870004039,300.0880870004039,2.7756346828427616,0.16627560645134928,1,3.7279151428901516,4.013515660769103,-0.2856005178789518,0.2856005178789518,4.013515660769103,0.0,0.0,180.47631483948726,183.55870581790143,3,1.0170840614303875,64.70008808700078,6.187748403999649
